samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
60,60,0.2,3,1,0.8151,0.8181,2.67E-05,FALSE,TRUE
60,45,0.2,3,1,0.8701,0.812,1.39E-125,FALSE,TRUE
60,75,0.2,3,1,0.754,0.8084,1.55E-117,FALSE,TRUE
60,30,0.2,3,1,0.9366,0.8235,3.68E-245,FALSE,TRUE
60,90,0.2,3,1,0.7062,0.8045,5.42E-213,FALSE,TRUE
60,15,0.2,3,1,0.9903,0.8396,0,FALSE,TRUE
60,105,0.2,3,1,0.677,0.8098,5.66E-288,FALSE,TRUE
60,60,0.5,3,1,0.2243,0.2272,4.48E-05,FALSE,TRUE
60,45,0.5,3,1,0.3206,0.2393,4.90E-176,FALSE,TRUE
60,75,0.5,3,1,0.1684,0.2174,8.69E-106,FALSE,TRUE
60,30,0.5,3,1,0.5013,0.2719,0,FALSE,TRUE
60,90,0.5,3,1,0.1338,0.2121,1.63E-169,FALSE,TRUE
60,15,0.5,3,1,0.826,0.3383,0,FALSE,TRUE
60,105,0.5,3,1,0.1109,0.2024,3.28E-198,FALSE,TRUE
60,60,0.8,3,1,0.0081,0.0084,1,FALSE,FALSE
60,45,0.8,3,1,0.0213,0.0124,2.42E-18,FALSE,TRUE
60,75,0.8,3,1,0.0049,0.0088,2.61E-07,FALSE,TRUE
60,30,0.8,3,1,0.0649,0.0158,5.26E-106,FALSE,TRUE
60,90,0.8,3,1,0.003,0.0088,1.61E-11,FALSE,TRUE
60,15,0.8,3,1,0.3297,0.0314,0,FALSE,TRUE
60,105,0.8,3,1,0.002,0.0063,3.37E-08,FALSE,TRUE
