samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
75,60,0.8,1.25,1,0.007,0.004,1,FALSE,FALSE
30,60,0.8,1.25,1,0.065,0.089,0.000597622,FALSE,TRUE
90,60,0.8,1.25,1,0,0,1,FALSE,FALSE
15,60,0.8,1.25,1,0.206,0.285,6.54E-14,FALSE,TRUE
105,60,0.8,1.25,1,0.001,0.001,1,FALSE,FALSE
60,60,0,0.5,1,0.06,0.06,1,TRUE,FALSE
45,60,0,0.5,1,0.037,0.052,0.067333864,TRUE,FALSE
75,60,0,0.5,1,0.079,0.061,0.013778439,TRUE,TRUE
30,60,0,0.5,1,0.016,0.048,9.52E-06,TRUE,TRUE
90,60,0,0.5,1,0.074,0.051,0.001005712,TRUE,TRUE
15,60,0,0.5,1,0.005,0.049,2.02E-08,TRUE,TRUE
105,60,0,0.5,1,0.108,0.056,3.41E-10,TRUE,TRUE
60,60,0.2,0.5,1,0.825,0.825,1,FALSE,FALSE
45,60,0.2,0.5,1,0.867,0.831,1.22E-06,FALSE,TRUE
75,60,0.2,0.5,1,0.764,0.796,9.52E-06,FALSE,TRUE
30,60,0.2,0.5,1,0.924,0.83,1.93E-19,FALSE,TRUE
90,60,0.2,0.5,1,0.723,0.802,3.80E-16,FALSE,TRUE
15,60,0.2,0.5,1,0.974,0.859,4.81E-24,FALSE,TRUE
105,60,0.2,0.5,1,0.68,0.771,8.79E-19,FALSE,TRUE
60,60,0.5,0.5,1,0.238,0.238,1,FALSE,FALSE
45,60,0.5,0.5,1,0.313,0.251,2.11E-12,FALSE,TRUE
75,60,0.5,0.5,1,0.173,0.207,3.40E-06,FALSE,TRUE
30,60,0.5,0.5,1,0.456,0.27,1.45E-39,FALSE,TRUE
90,60,0.5,0.5,1,0.156,0.211,7.40E-11,FALSE,TRUE
15,60,0.5,0.5,1,0.773,0.446,2.64E-70,FALSE,TRUE
105,60,0.5,0.5,1,0.116,0.187,2.19E-14,FALSE,TRUE
60,60,0.8,0.5,1,0.008,0.008,1,FALSE,FALSE
45,60,0.8,0.5,1,0.015,0.01,1,FALSE,FALSE
75,60,0.8,0.5,1,0.003,0.007,1,FALSE,FALSE
30,60,0.8,0.5,1,0.064,0.02,2.02E-08,FALSE,TRUE
90,60,0.8,0.5,1,0.004,0.008,1,FALSE,FALSE
15,60,0.8,0.5,1,0.302,0.065,1.08E-50,FALSE,TRUE
105,60,0.8,0.5,1,0.002,0.005,1,FALSE,FALSE
60,60,0,1.5,1,0.049,0.049,1,TRUE,FALSE
45,60,0,1.5,1,0.062,0.052,0.991541792,TRUE,FALSE
75,60,0,1.5,1,0.051,0.06,1,TRUE,FALSE
30,60,0,1.5,1,0.08,0.04,1.56E-07,TRUE,TRUE
90,60,0,1.5,1,0.031,0.044,0.195795535,TRUE,FALSE
