samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
10,3,0.8,1.25,1,0.8568,0.8142,4.90E-31,FALSE,TRUE
10,18,0.8,1.25,1,0.4786,0.5342,2.04E-86,FALSE,TRUE
10,10,0,0.5,1,0.0493,0.0473,0.073883829,TRUE,FALSE
10,8,0,0.5,1,0.0716,0.0545,7.20E-34,TRUE,TRUE
10,13,0,0.5,1,0.0334,0.0478,5.78E-30,TRUE,TRUE
10,5,0,0.5,1,0.1056,0.0566,3.02E-95,TRUE,TRUE
10,15,0,0.5,1,0.0286,0.0503,4.55E-45,TRUE,TRUE
10,3,0,0.5,1,0.1365,0.0682,2.56E-101,TRUE,TRUE
10,18,0,0.5,1,0.0201,0.048,2.03E-59,TRUE,TRUE
10,10,0.2,0.5,1,0.924,0.9265,0.027216443,FALSE,TRUE
10,8,0.2,0.5,1,0.915,0.9354,6.42E-40,FALSE,TRUE
10,13,0.2,0.5,1,0.9481,0.9285,9.51E-42,FALSE,TRUE
10,5,0.2,0.5,1,0.8766,0.9332,1.46E-110,FALSE,TRUE
10,15,0.2,0.5,1,0.9504,0.9226,8.91E-59,FALSE,TRUE
10,3,0.2,0.5,1,0.8486,0.9244,2.51E-122,FALSE,TRUE
10,18,0.2,0.5,1,0.9613,0.9158,3.59E-98,FALSE,TRUE
10,10,0.5,0.5,1,0.8191,0.8229,0.004914187,FALSE,TRUE
10,8,0.5,0.5,1,0.807,0.8457,2.93E-81,FALSE,TRUE
10,13,0.5,0.5,1,0.824,0.7818,1.47E-90,FALSE,TRUE
10,5,0.5,0.5,1,0.796,0.8915,1.41E-198,FALSE,TRUE
10,15,0.5,0.5,1,0.8264,0.7526,9.94E-160,FALSE,TRUE
10,3,0.5,0.5,1,0.7984,0.9022,7.76E-180,FALSE,TRUE
10,18,0.5,0.5,1,0.8481,0.7401,1.21E-233,FALSE,TRUE
10,10,0.8,0.5,1,0.6117,0.6195,4.73E-11,FALSE,TRUE
10,8,0.8,0.5,1,0.6161,0.6796,2.32E-134,FALSE,TRUE
10,13,0.8,0.5,1,0.5988,0.53,2.01E-148,FALSE,TRUE
10,5,0.8,0.5,1,0.6612,0.8011,1.02E-291,FALSE,TRUE
10,15,0.8,0.5,1,0.5906,0.4825,7.35E-234,FALSE,TRUE
10,3,0.8,0.5,1,0.6977,0.8599,1.27E-301,FALSE,TRUE
10,18,0.8,0.5,1,0.5816,0.4318,0,FALSE,TRUE
10,10,0,1.5,1,0.051,0.0523,1,TRUE,FALSE
10,8,0,1.5,1,0.0363,0.0444,1.12E-14,TRUE,TRUE
10,13,0,1.5,1,0.0631,0.0519,5.03E-18,TRUE,TRUE
10,5,0,1.5,1,0.0311,0.0484,2.43E-27,TRUE,TRUE
10,15,0,1.5,1,0.0664,0.0494,5.95E-30,TRUE,TRUE
10,3,0,1.5,1,0.0262,0.0576,2.32E-49,TRUE,TRUE
10,18,0,1.5,1,0.0775,0.0534,1.62E-43,TRUE,TRUE
10,10,0.2,1.5,1,0.9306,0.9307,1,FALSE,FALSE
10,8,0.2,1.5,1,0.9424,0.9295,1.74E-25,FALSE,TRUE
10,13,0.2,1.5,1,0.9183,0.9314,1.74E-23,FALSE,TRUE
10,5,0.2,1.5,1,0.9569,0.9413,4.54E-19,FALSE,TRUE
10,15,0.2,1.5,1,0.9027,0.9244,5.59E-37,FALSE,TRUE
10,3,0.2,1.5,1,0.9722,0.936,1.61E-54,FALSE,TRUE
10,18,0.2,1.5,1,0.8974,0.9305,1.68E-64,FALSE,TRUE
10,10,0.5,1.5,1,0.813,0.8124,1,FALSE,FALSE
10,8,0.5,1.5,1,0.8561,0.8324,1.89E-47,FALSE,TRUE
10,13,0.5,1.5,1,0.7758,0.8075,8.92E-59,FALSE,TRUE
10,5,0.5,1.5,1,0.8921,0.8566,6.36E-53,FALSE,TRUE
10,15,0.5,1.5,1,0.7518,0.7988,6.13E-91,FALSE,TRUE
10,3,0.5,1.5,1,0.9366,0.8868,2.83E-67,FALSE,TRUE
10,18,0.5,1.5,1,0.7254,0.7987,8.75E-145,FALSE,TRUE
10,10,0.8,1.5,1,0.619,0.6158,0.138539889,FALSE,FALSE
10,8,0.8,1.5,1,0.6797,0.6403,3.13E-79,FALSE,TRUE
10,13,0.8,1.5,1,0.5505,0.5955,4.86E-88,FALSE,TRUE
10,5,0.8,1.5,1,0.7646,0.7057,2.80E-83,FALSE,TRUE
10,15,0.8,1.5,1,0.4972,0.5674,1.86E-138,FALSE,TRUE
10,3,0.8,1.5,1,0.8621,0.7858,5.91E-95,FALSE,TRUE
10,18,0.8,1.5,1,0.4636,0.5649,1.30E-207,FALSE,TRUE
10,10,0,0.25,1,0.0591,0.0519,1.32E-14,TRUE,TRUE
10,8,0,0.25,1,0.0857,0.0518,6.42E-73,TRUE,TRUE
10,13,0,0.25,1,0.0291,0.0468,1.34E-37,TRUE,TRUE
10,5,0,0.25,1,0.1547,0.0568,4.02E-212,TRUE,TRUE
10,15,0,0.25,1,0.0222,0.0475,3.51E-54,TRUE,TRUE
10,3,0,0.25,1,0.2225,0.0647,0,TRUE,TRUE
10,18,0,0.25,1,0.0148,0.0479,3.55E-71,TRUE,TRUE
10,10,0.2,0.25,1,0.9158,0.9268,5.99E-23,FALSE,TRUE
10,8,0.2,0.25,1,0.8941,0.9345,1.22E-86,FALSE,TRUE
10,13,0.2,0.25,1,0.9438,0.921,9.93E-49,FALSE,TRUE
10,5,0.2,0.25,1,0.8243,0.9389,1.48E-247,FALSE,TRUE
10,15,0.2,0.25,1,0.9594,0.9196,9.15E-86,FALSE,TRUE
10,3,0.2,0.25,1,0.7709,0.9333,0,FALSE,TRUE
10,18,0.2,0.25,1,0.9728,0.9192,8.52E-116,FALSE,TRUE
10,10,0.5,0.25,1,0.8043,0.8198,8.55E-33,FALSE,TRUE
10,8,0.5,0.25,1,0.7836,0.8552,6.04E-155,FALSE,TRUE
10,13,0.5,0.25,1,0.8368,0.7869,9.56E-108,FALSE,TRUE
10,5,0.5,0.25,1,0.7285,0.8951,0,FALSE,TRUE
10,15,0.5,0.25,1,0.8471,0.7508,1.21E-208,FALSE,TRUE
10,3,0.5,0.25,1,0.7099,0.9113,0,FALSE,TRUE
10,18,0.5,0.25,1,0.8651,0.7146,0,FALSE,TRUE
10,10,0.8,0.25,1,0.6077,0.6347,1.86E-57,FALSE,TRUE
10,8,0.8,0.25,1,0.6027,0.7066,3.65E-225,FALSE,TRUE
10,13,0.8,0.25,1,0.612,0.533,4.91E-171,FALSE,TRUE
10,5,0.8,0.25,1,0.5864,0.8166,0,FALSE,TRUE
10,15,0.8,0.25,1,0.6198,0.4769,6.38862478345035e-310,FALSE,TRUE
10,3,0.8,0.25,1,0.6283,0.8809,0,FALSE,TRUE
10,18,0.8,0.25,1,0.6136,0.3917,0,FALSE,TRUE
10,10,0,1.75,1,0.0511,0.0507,1,TRUE,FALSE
10,8,0,1.75,1,0.0383,0.0475,3.53E-18,TRUE,TRUE
10,13,0,1.75,1,0.0603,0.0465,1.07E-26,TRUE,TRUE
10,5,0,1.75,1,0.0276,0.0468,3.87E-33,TRUE,TRUE
10,15,0,1.75,1,0.0737,0.0484,2.60E-51,TRUE,TRUE
10,3,0,1.75,1,0.0183,0.048,1.66E-51,TRUE,TRUE
10,18,0,1.75,1,0.0871,0.0505,4.40E-75,TRUE,TRUE
10,10,0.2,1.75,1,0.9316,0.9318,1,FALSE,FALSE
10,8,0.2,1.75,1,0.9497,0.9364,5.59E-26,FALSE,TRUE
10,13,0.2,1.75,1,0.9104,0.9292,1.88E-36,FALSE,TRUE
10,5,0.2,1.75,1,0.9621,0.9383,3.30E-39,FALSE,TRUE
10,15,0.2,1.75,1,0.8965,0.9294,7.82E-68,FALSE,TRUE
10,3,0.2,1.75,1,0.9769,0.9357,3.14E-72,FALSE,TRUE
10,18,0.2,1.75,1,0.8715,0.9208,2.57E-104,FALSE,TRUE
10,10,0.5,1.75,1,0.8197,0.8203,1,FALSE,FALSE
10,8,0.5,1.75,1,0.8494,0.8205,1.35E-61,FALSE,TRUE
10,13,0.5,1.75,1,0.7587,0.8018,3.32E-89,FALSE,TRUE
10,5,0.5,1.75,1,0.9028,0.8561,3.99E-84,FALSE,TRUE
10,15,0.5,1.75,1,0.7438,0.8082,2.85E-134,FALSE,TRUE
10,3,0.5,1.75,1,0.9465,0.8819,2.25E-104,FALSE,TRUE
10,18,0.5,1.75,1,0.7177,0.81,7.09E-195,FALSE,TRUE
10,10,0.8,1.75,1,0.6096,0.6143,0.001305598,FALSE,TRUE
10,8,0.8,1.75,1,0.6787,0.6318,4.27E-99,FALSE,TRUE
10,13,0.8,1.75,1,0.5303,0.5942,5.38E-134,FALSE,TRUE
10,5,0.8,1.75,1,0.7757,0.6929,1.41E-155,FALSE,TRUE
10,15,0.8,1.75,1,0.5042,0.6002,5.33E-205,FALSE,TRUE
10,3,0.8,1.75,1,0.8741,0.7681,1.85E-164,FALSE,TRUE
10,18,0.8,1.75,1,0.4454,0.5815,1.03E-291,FALSE,TRUE
10,10,0,3,1,0.0586,0.0539,2.65E-08,TRUE,TRUE
10,8,0,3,1,0.0377,0.0504,1.14E-26,TRUE,TRUE
10,13,0,3,1,0.0821,0.0515,9.91E-66,TRUE,TRUE
10,5,0,3,1,0.0226,0.0495,8.14E-57,TRUE,TRUE
10,15,0,3,1,0.1057,0.0535,9.47E-113,TRUE,TRUE
10,3,0,3,1,0.0094,0.0493,1.06E-84,TRUE,TRUE
10,18,0,3,1,0.1263,0.0487,1.47E-167,TRUE,TRUE
10,10,0.2,3,1,0.9298,0.9348,5.81E-09,FALSE,TRUE
10,8,0.2,3,1,0.9447,0.9274,9.99E-37,FALSE,TRUE
10,13,0.2,3,1,0.89,0.9326,7.35E-92,FALSE,TRUE
10,5,0.2,3,1,0.97,0.9326,1.11E-79,FALSE,TRUE
10,15,0.2,3,1,0.8677,0.9282,8.34E-131,FALSE,TRUE
10,3,0.2,3,1,0.9873,0.9345,6.28E-112,FALSE,TRUE
10,18,0.2,3,1,0.8338,0.9299,3.28E-208,FALSE,TRUE
10,10,0.5,3,1,0.8149,0.8264,1.27E-23,FALSE,TRUE
10,8,0.5,3,1,0.8621,0.829,3.55E-71,FALSE,TRUE
10,13,0.5,3,1,0.7443,0.8211,2.98E-166,FALSE,TRUE
10,5,0.5,3,1,0.9113,0.8304,1.90E-173,FALSE,TRUE
10,15,0.5,3,1,0.7039,0.814,3.31E-238,FALSE,TRUE
10,3,0.5,3,1,0.9626,0.8613,3.64E-211,FALSE,TRUE
10,18,0.5,3,1,0.6631,0.8147,0,FALSE,TRUE
10,10,0.8,3,1,0.6103,0.631,1.01E-43,FALSE,TRUE
10,8,0.8,3,1,0.6895,0.6319,1.69E-124,FALSE,TRUE
10,13,0.8,3,1,0.5144,0.6191,6.65E-227,FALSE,TRUE
10,5,0.8,3,1,0.7975,0.6582,1.15E-301,FALSE,TRUE
10,15,0.8,3,1,0.4709,0.6199,0,FALSE,TRUE
10,3,0.8,3,1,0.9077,0.7049,0,FALSE,TRUE
10,18,0.8,3,1,0.4071,0.6062,0,FALSE,TRUE
